GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons IO,org.apache.commons.io.monitor,FileAlterationListenerAdaptor,0,11,0,0,0,9,0,9,0,9
Apache Commons IO,org.apache.commons.io.monitor,FileAlterationObserver,48,515,10,60,10,113,11,47,3,20
Apache Commons IO,org.apache.commons.io.monitor,FileEntry,54,127,9,15,18,27,18,14,10,10
Apache Commons IO,org.apache.commons.io.monitor,FileAlterationMonitor,3,195,0,26,2,60,0,27,0,14
Apache Commons IO,org.apache.commons.io.serialization,ValidatingObjectInputStream,6,224,0,18,2,38,0,21,0,12
Apache Commons IO,org.apache.commons.io.serialization,RegexpClassNameMatcher,0,24,0,2,0,8,0,4,0,3
Apache Commons IO,org.apache.commons.io.serialization,WildcardClassNameMatcher,0,11,0,0,0,4,0,2,0,2
Apache Commons IO,org.apache.commons.io.serialization,FullClassNameMatcher,0,16,0,0,0,4,0,2,0,2
Apache Commons IO,org.apache.commons.io.input,CloseShieldReader,0,13,0,0,0,5,0,3,0,3
Apache Commons IO,org.apache.commons.io.input,ClosedInputStream,0,10,0,0,0,3,0,3,0,3
Apache Commons IO,org.apache.commons.io.input,UnsupportedOperationExceptions,3,18,0,0,1,3,1,3,1,3
Apache Commons IO,org.apache.commons.io.input,CharacterFilterReader,0,18,0,2,0,4,0,4,0,3
Apache Commons IO,org.apache.commons.io.input,BrokenReader,7,24,0,0,2,9,1,7,1,7
Apache Commons IO,org.apache.commons.io.input,UnsynchronizedByteArrayInputStream,0,247,0,30,0,54,0,26,0,11
Apache Commons IO,org.apache.commons.io.input,SequenceReader,0,134,2,18,0,34,2,14,0,6
Apache Commons IO,org.apache.commons.io.input,MessageDigestCalculatingInputStream.MessageDigestMaintainingObserver,6,13,0,0,2,5,1,2,1,2
Apache Commons IO,org.apache.commons.io.input,XmlStreamReader,123,1276,12,148,25,182,13,92,4,21
Apache Commons IO,org.apache.commons.io.input,QueueInputStream,0,35,0,2,0,8,0,5,0,4
Apache Commons IO,org.apache.commons.io.input,CloseShieldInputStream,0,13,0,0,0,5,0,3,0,3
Apache Commons IO,org.apache.commons.io.input,WindowsLineEndingInputStream,2,117,0,26,1,37,1,18,1,5
Apache Commons IO,org.apache.commons.io.input,BoundedInputStream,84,104,9,11,21,22,14,10,9,5
Apache Commons IO,org.apache.commons.io.input,BufferedFileChannelInputStream,57,269,10,24,16,65,11,22,2,14
Apache Commons IO,org.apache.commons.io.input,BOMInputStream,0,366,0,54,0,77,0,46,0,19
Apache Commons IO,org.apache.commons.io.input,XmlStreamReaderException,0,43,0,0,0,14,0,7,0,7
Apache Commons IO,org.apache.commons.io.input,Tailer,80,370,7,34,22,103,13,29,7,14
Apache Commons IO,org.apache.commons.io.input,NullInputStream,7,272,1,29,3,68,3,29,2,15
Apache Commons IO,org.apache.commons.io.input,DemuxInputStream,8,30,1,1,3,8,2,3,1,3
Apache Commons IO,org.apache.commons.io.input,ProxyInputStream,30,86,0,2,13,31,0,14,0,13
Apache Commons IO,org.apache.commons.io.input,AbstractCharacterFilterReader,9,77,1,13,2,19,3,11,2,5
Apache Commons IO,org.apache.commons.io.input,MessageDigestCalculatingInputStream,6,25,0,0,2,6,1,3,1,3
Apache Commons IO,org.apache.commons.io.input,TimestampedObserver,0,44,0,0,0,9,0,7,0,7
Apache Commons IO,org.apache.commons.io.input,ClosedReader,0,11,0,0,0,4,0,4,0,4
Apache Commons IO,org.apache.commons.io.input,UnixLineEndingInputStream,2,102,0,24,1,31,1,17,1,5
Apache Commons IO,org.apache.commons.io.input,ReversedLinesFileReader.FilePart,52,286,5,39,6,57,5,22,0,5
Apache Commons IO,org.apache.commons.io.input,CountingInputStream,0,86,0,6,0,20,0,10,0,7
Apache Commons IO,org.apache.commons.io.input,ObservableInputStream.Observer,4,5,0,0,3,3,3,3,3,3
Apache Commons IO,org.apache.commons.io.input,MarkShieldInputStream,0,9,0,0,0,5,0,4,0,4
Apache Commons IO,org.apache.commons.io.input,CharSequenceReader,34,322,5,29,2,65,5,26,0,14
Apache Commons IO,org.apache.commons.io.input,InfiniteCircularInputStream,0,5,0,0,0,2,0,1,0,1
