The Great Train Robbery,1903,0
The Birth of a Nation,1915,3.3
Intolerance: Love's Struggle Throughout the Ages,1916,3.8
The Immigrant,1917,0
Otets Sergiy,1917,0
A Dog's Life,1918,0
Broken Blossoms or The Yellow Man and the Girl,1919,3.7
"Die Spinnen, 1. Teil - Der Goldene See",1919,0
Male and Female,1919,0
Das Cabinet des Dr. Caligari.,1920,4.1
"Der Golem, wie er in die Welt kam",1920,0
The Saphead,1920,0
Way Down East,1920,0
The Goat,1921,0
Orphans of the Storm,1921,0
"Dr. Mabuse, der Spieler - Ein Bild der Zeit",1922,4.1
"Dr. Mabuse, der Spieler - Ein Bild der Zeit",1922,4.1
"Nosferatu, eine Symphonie des Grauens",1922,3.9
Häxan,1922,3.8
Nanook of the North,1922,3.7
Tess of the Storm Country,1922,0
Blood and Sand,1922,0
Foolish Wives,1922,0
Foolish Wives,1922,0
Our Hospitality,1923,0
Three Ages,1923,0
Safety Last!,1923,0
A Woman of Paris: A Drama of Fate,1923,0
Der letzte Mann,1924,4.1
The Thief of Bagdad,1924,3.6
The Thief of Bagdad,1924,3.6
The Thief of Bagdad,1924,3.6
The Iron Horse,1924,0
Sherlock Jr.,1924,0
Greed,1924,0
The Gold Rush,1925,4.1
Bronenosets Potyomkin,1925,4
The Phantom of the Opera,1925,3.7
The Pleasure Garden,1925,0
Seven Chances,1925,0
The General,1926,4.4
The General,1926,4.4
The General,1926,4.4
Battling Butler,1926,3.7
3 Bad Men,1926,0
The Son of the Sheik,1926,0
The Black Pirate,1926,0
Sunrise: A Song of Two Humans,1927,4.4
Metropolis,1927,4.1
Metropolis,1927,4.1
Berlin: Die Sinfonie der Grosstadt,1927,3.9
It,1927,3.7
The Cat and the Canary,1927,0
The Kid Brother,1927,0
La passion de Jeanne d'Arc,1928,4.4
The Circus,1928,4.1
Oktyabr,1928,4
The Farmer's Wife,1928,0
The Cameraman,1928,0
Champagne,1928,0
"Steamboat Bill, Jr.",1928,0
Steamboat Willie,1928,0
Chelovek s kino-apparatom,1929,4.1
Un chien andalou,1929,4.1
Die Büchse der Pandora,1929,4.1
Die Büchse der Pandora,1929,4.1
The Cocoanuts,1929,3.6
Blackmail,1929,3.4
The Manxman,1929,3.1
The Broadway Melody,1929,2.9
Big Business,1929,0
Der blaue Engel,1930,4
L'âge d'or,1930,4
Le sang d'un poète,1930,3.9
All Quiet on the Western Front,1930,3.8
All Quiet on the Western Front,1930,3.8
The Bat Whispers,1930,3.4
Hell's Angels,1930,0
Anna Christie,1930,0
Animal Crackers,1930,0
Juno and the Paycock,1930,0
The Big Trail,1930,0
City Lights,1931,4.3
M,1931,4.3
City Lights,1931,4.3
The Public Enemy,1931,3.9
Tabu: A Story of the South Seas,1931,3.8
À nous la liberté,1931,3.7
Dracula,1931,3.6
Little Caesar,1931,3.6
Frankenstein,1931,3.6
Dracula,1931,3.6
Frankenstein,1931,3.6
Dracula,1931,3.6
The Skin Game,1931,2.7
Monkey Business,1931,0
Platinum Blonde,1931,0
Monkey Business,1931,0
Arrowsmith,1931,0
Rich and Strange,1931,0
Trouble in Paradise,1932,4.2
Freaks,1932,4
Horse Feathers,1932,3.9
Grand Hotel,1932,3.8
Tarzan the Ape Man,1932,0
The Mask of Fu Manchu,1932,0
Movie Crazy,1932,0
Number Seventeen,1932,0
Movie Crazy,1932,0
Movie Crazy,1932,0
I Am a Fugitive from a Chain Gang,1932,0
The Most Dangerous Game,1932,0
White Zombie,1932,0
A Farewell to Arms,1932,0
Duck Soup,1933,4.1
The Invisible Man,1933,3.7
42nd Street,1933,3.5
Cavalcade,1933,3
The Private Life of Henry VIII.,1933,0
The Son of Kong,1933,0
Mystery of the Wax Museum,1933,0
Dinner at Eight,1933,0
Zéro de conduite: Jeunes diables au collège,1933,0
Tarzan the Fearless,1933,0
Das Testament des Dr. Mabuse,1933,0
I'm No Angel,1933,0
Footlight Parade,1933,0
The Vampire Bat,1933,0
Flying Down to Rio,1933,0
Queen Christina,1933,0
Gold Diggers of 1933,1933,0
The Vampire Bat,1933,0
Little Miss Marker,1934,
Little Miss Marker,1934,
L'atalante,1934,4.3
The Thin Man,1934,4.2
It Happened One Night,1934,4.1
Manhattan Melodrama,1934,3.7
Twentieth Century,1934,3.7
Man of Aran,1934,3.6
Babes in Toyland,1934,3.6
Babes in Toyland,1934,3.6
The Gay Divorcee,1934,0
Of Human Bondage,1934,0
Bright Eyes,1934,0
The Gay Divorcee,1934,0
The Scarlet Empress,1934,0
Chapaev,1934,0
Judge Priest,1934,0
Captain Blood,1935,
A Night at the Opera,1935,4.1
Top Hat,1935,4
The 39 Steps,1935,3.8
Mutiny on the Bounty,1935,3.7
Mutiny on the Bounty,1935,3.7
Bride of Frankenstein,1935,3.7
Alice Adams,1935,3.6
Barbary Coast,1935,3.1
The Littlest Rebel,1935,0
Texas Terror,1935,0
Roberta,1935,0
Anna Karenina,1935,0
Anna Karenina,1935,0
Triumph des Willens,1935,0
Modern Times,1936,4.2
Modern Times,1936,4.2
My Man Godfrey,1936,4.1
My Man Godfrey,1936,4.1
Dodsworth,1936,4
Camille,1936,3.9
Sabotage,1936,3.5
The Great Ziegfeld,1936,3.4
Things to Come,1936,3.3
Come and Get It,1936,3.1
Tell Your Children,1936,3
Rembrandt,1936,0
Mr. Deeds Goes to Town,1936,0
Mary of Scotland,1936,0
Swing Time,1936,0
The Green Pastures,1936,0
Little Lord Fauntleroy,1936,0
Anthony Adverse,1936,0
The Devil-Doll,1936,0
The Petrified Forest,1936,0
San Francisco,1936,0
Secret Agent,1936,0
Wife vs. Secretary,1936,0
Libeled Lady,1936,0
After the Thin Man,1936,0
The Devil-Doll,1936,0
The Invisible Ray,1936,0
Follow the Fleet,1936,0
The Plainsman,1936,0
Dracula's Daughter,1936,0
Show Boat,1936,0
Dimples,1936,0
Secret Agent,1936,0
La grande illusion,1937,4.3
The Awful Truth,1937,4
Pépé le Moko,1937,3.8
Drôle de drame ou L'étrange aventure du Docteur Molyneux,1937,3.8
The Good Earth,1937,3.7
The Life of Emile Zola,1937,3.6
A Damsel in Distress,1937,3.5
Young and Innocent,1937,3.4
A Day at the Races,1937,0
In Old Chicago,1937,0
Nothing Sacred,1937,0
You Only Live Once,1937,0
Marked Woman,1937,0
The Hurricane,1937,0
A Star Is Born,1937,0
Way Out West,1937,0
Snow White and the Seven Dwarfs,1937,0
Lost Horizon,1937,0
Stella Dallas,1937,0
A Star Is Born,1937,0
Le quai des brumes,1938,4.1
Aleksandr Nevskiy,1938,4
La bête humaine,1938,4
The Lady Vanishes,1938,4
You Can't Take It with You,1938,4
Bringing Up Baby,1938,4
The Adventures of Robin Hood,1938,3.7
Pygmalion,1938,3.7
The Adventures of Robin Hood,1938,3.7
Room Service,1938,0
Boys Town,1938,0
Alexander's Ragtime Band,1938,0
Jezebel,1938,0
Angels with Dirty Faces,1938,0
Love Finds Andy Hardy,1938,0
La règle du jeu,1939,4.3
Ninotchka,1939,4.1
Wuthering Heights,1939,3.9
Wuthering Heights,1939,3.9
Young Mr. Lincoln,1939,3.9
Gone with the Wind,1939,3.9
Dark Victory,1939,3.9
Wuthering Heights,1939,3.9
Only Angels Have Wings,1939,3.8
Gunga Din,1939,3.7
Mr. Smith Goes to Washington,1939,3.6
The Wizard of Oz,1939,3.6
Jamaica Inn,1939,3
Stagecoach,1939,0
Destry Rides Again,1939,0
The Return of Doctor X,1939,0
The Hunchback of Notre Dame,1939,0
Gulliver's Travels,1939,0
Drums Along the Mohawk,1939,0
The Hunchback of Notre Dame,1939,0
Bachelor Mother,1939,0
The Adventures of Sherlock Holmes,1939,0
At the Circus,1939,0
The Roaring Twenties,1939,0
The Flying Deuces,1939,0
Beau Geste,1939,0
Another Thin Man,1939,0
"Goodbye, Mr. Chips",1939,0
The Hunchback of Notre Dame,1939,0
Son of Frankenstein,1939,0
Made for Each Other,1939,0
The Great Dictator,1940,4.2
The Philadelphia Story,1940,4.1
The Shop Around the Corner,1940,4.1
Waterloo Bridge,1940,4
Christmas in July,1940,4
My Favorite Wife,1940,3.9
The Grapes of Wrath,1940,3.8
Foreign Correspondent,1940,3.7
Fantasia,1940,3.5
Pinocchio,1940,3.3
Pinocchio,1940,3.3
Flash Gordon Conquers the Universe,1940,0
Go West,1940,0
Rebecca,1940,0
They Drive by Night,1940,0
The Sea Hawk,1940,0
The Westerner,1940,0
The Bank Dick,1940,0
Dark Command,1940,0
The Invisible Man Returns,1940,0
My Little Chickadee,1940,0
The Ghost Breakers,1940,0
His Girl Friday,1940,0
Santa Fe Trail,1940,0
The Devil Bat,1940,0
Strange Cargo,1940,0
Road to Singapore,1940,0
I Love You Again,1940,0
Go West,1940,0
'Northwest Passage' (Book I -- Rogers' Rangers),1940,0
The Mummy's Hand,1940,0
Our Town,1940,0
Sullivan's Travels,1941,4.2
Sullivan's Travels,1941,4.2
The Lady Eve,1941,4.1
Citizen Kane,1941,4.1
Ball of Fire,1941,4.1
The Maltese Falcon,1941,4
The Maltese Falcon,1941,4
Sergeant York,1941,4
How Green Was My Valley,1941,3.9
The Wolf Man,1941,3.7
Johnny Eager,1941,3.7
Penny Serenade,1941,3.7
