'Stone Cold' Steve Austin,13,The Longest Yard,2
A. James Ryan,27,Eight Below,2
A.D. Miles,11,The Baxter,2
A.J. Cook,7,Out Cold,2
A.W. Sweatt,11,A Star Is Born,2
Aaron Abrams,31,The In-Laws,2
Aaron Alexander,33,The In-Laws,2
Aaron Eckhart,2,Your Friends & Neighbors,2
Aaron Eckhart,12,The Missing,2
Aaron Ingram,38,Grosse Pointe Blank,2
Aaron Johnson,4,"Angus, Thongs and Perfect Snogging",2
Aaron Lustig,11,Bedazzled,2
Aaron Michael Drozin,7,Fun with Dick and Jane,2
Aaron Murphy,9,Boogeyman,2
Aaron Paul,24,Mission: Impossible III,2
Aaron Schwartz,39,The Mighty Ducks,2
Aaron Sillis,125,The Phantom of the Opera,5
Aaron Speiser,16,The Italian Job,2
Aaron Stanford,1,The Hills Have Eyes,2
Aaron Staton,10,August Rush,4
Aaron Vaughn,48,Problem Child 2,2
Abbas El Bougbdadly,56,The Ten Commandments,2
Abbie Cornish,2,Candy,2
Abbie Cornish,6,Elizabeth: The Golden Age,2
Abdel Tornes,40,Miami Vice,2
Abdu Rahim Kashmir,29,Body of Lies,2
Abdul Hassan Sharif,23,Léon,2
Abdul Sebagangali,18,Shooting Dogs,2
Abe Vigoda,32,The Godfather,2
Abel Folk,13,Vicky Cristina Barcelona,2
Abel Woolrich,1,The Alamo,2
Abhijati Jusakul,19,The Beach,4
Abigail Van Alyn,18,Village of the Damned,2
Abigail Van Alyn,32,Tucker: The Man and His Dream,2
Abigail Van Alyn,45,The Pursuit of Happyness,2
Abigail Wathen,27,The Baxter,2
Abigail Winter-Culliford,10,The Fog,2
Abraham Benrubi,13,Charlotte's Web,2
Abraham Benrubi,19,Twister,2
Acid Drinkers,1,Les triplettes de Belleville,2
Adam Alexi-Malle,11,Failure to Launch,2
Adam Arlukiewicz,29,The Assassination of Jesse James by the Coward Robert Ford,3
Adam Beach,5,Joe Dirt,2
Adam Beach,22,"Mystery, Alaska",2
Adam Bolton,6,The Business,2
Adam Brock,12,Problem Child 2,2
Adam Brody,4,Mr. & Mrs. Smith,2
Adam Brody,28,The Ring,3
Adam Buxton,23,Hot Fuzz,2
Adam Curtis,1,The Power of Nightmares: The Rise of the Politics of Fear,2
Adam De La Pena,10,The Guardian,2
Adam Del Rio,26,The Pursuit of Happyness,2
Adam Friberg,11,Last Days,2
Adam Garcia,1,The First $20 Million Is Always the Hardest,2
Adam Garcia,2,Coyote Ugly,2
Adam Godley,21,Around the World in 80 Days,2
