Kind,Name,SumCyclomatic,AvgEssential,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived,CountClassCoupled,CountDeclMethod,Essential,CountLineCode
Package,(Unnamed_Package),5,1,,,,,5,,49
Unnamed Function,(unnamed_function_1),11,,,,,,,1,38
Unnamed Function,(unnamed_function_1),10,,,,,,,1,1
Function,(unnamed_function_1).__webpack_require__,2,,,,,,,1,13
Function,(unnamed_function_1).t,2,,,,,,,1,1
Unnamed Function,(unnamed_function_14),26,,,,,,,1,1
Unnamed Function,(unnamed_function_2),1,,,,,,,1,3
Unnamed Function,(unnamed_function_21),2,,,,,,,1,1
Unnamed Function,(unnamed_function_22),13,,,,,,,1,1
Unnamed Function,(unnamed_function_25),21,,,,,,,1,1
Unnamed Function,(unnamed_function_25).(unnamed_function_26),20,,,,,,,1,1
Unnamed Function,(unnamed_function_25).(unnamed_function_26).(unnamed_function_27),2,,,,,,,1,1
Unnamed Function,(unnamed_function_25).(unnamed_function_26).(unnamed_function_28),16,,,,,,,1,1
Function,(unnamed_function_25).(unnamed_function_26).(unnamed_function_28).o,4,,,,,,,1,1
Unnamed Function,(unnamed_function_25).(unnamed_function_26).(unnamed_function_28).o.(unnamed_function_29),3,,,,,,,1,1
Unnamed Function,(unnamed_function_25).(unnamed_function_26).(unnamed_function_28).o.(unnamed_function_29).(unnamed_function_30),1,,,,,,,1,1
Function,(unnamed_function_25).(unnamed_function_26).(unnamed_function_28).t,3,,,,,,,1,1
Unnamed Function,(unnamed_function_3),1,,,,,,,1,3
Unnamed Function,(unnamed_function_4),1,,,,,,,1,3
Unnamed Function,(unnamed_function_4),3,,,,,,,1,1
Function,(unnamed_function_4).n,0,,,,,,,0,0
Function,(unnamed_function_4).n,1,,,,,,,1,1
Unnamed Function,(unnamed_function_5),1,,,,,,,1,3
Unnamed Function,(unnamed_function_5),49,,,,,,,1,1
Unnamed Function,(unnamed_function_5).(unnamed_function_6),2,,,,,,,1,1
Unnamed Function,(unnamed_function_5).(unnamed_function_7),46,,,,,,,1,1
Unnamed Function,(unnamed_function_5).(unnamed_function_7).(unnamed_function_13),10,,,,,,,5,1
Function,(unnamed_function_5).(unnamed_function_7).(unnamed_function_13).c,1,,,,,,,1,1
Function,(unnamed_function_5).(unnamed_function_7).(unnamed_function_13).c,1,,,,,,,1,1
Unnamed Function,(unnamed_function_5).(unnamed_function_7).(unnamed_function_9),6,,,,,,,1,1
Unnamed Function,(unnamed_function_5).(unnamed_function_7).(unnamed_function_9).(unnamed_function_10),1,,,,,,,1,1
Unnamed Function,(unnamed_function_5).(unnamed_function_7).(unnamed_function_9).(unnamed_function_11),1,,,,,,,1,1
Unnamed Function,(unnamed_function_5).(unnamed_function_7).(unnamed_function_9).(unnamed_function_12),3,,,,,,,1,1
Function,(unnamed_function_5).(unnamed_function_7).e,1,,,,,,,1,1
Public Method,(unnamed_function_5).(unnamed_function_7).i.getHeight,1,,,,,,,1,1
Public Method,(unnamed_function_5).(unnamed_function_7).i.getTopOf,1,,,,,,,1,1
Public Method,(unnamed_function_5).(unnamed_function_7).i.toY,1,,,,,,,1,1
Function,(unnamed_function_5).(unnamed_function_7).o,1,,,,,,,1,1
Function,(unnamed_function_5).(unnamed_function_7).t,17,,,,,,,1,1
Function,(unnamed_function_5).(unnamed_function_7).t.a,1,,,,,,,1,1
Function,(unnamed_function_5).(unnamed_function_7).t.c,6,,,,,,,1,1
Function,(unnamed_function_5).(unnamed_function_7).t.c.e,4,,,,,,,1,1
Unnamed Function,(unnamed_function_5).(unnamed_function_7).t.c.e.(unnamed_function_8),3,,,,,,,1,1
Function,(unnamed_function_5).(unnamed_function_7).t.d,1,,,,,,,1,1
Function,(unnamed_function_5).(unnamed_function_7).t.l,1,,,,,,,1,1
Public Method,(unnamed_function_5).(unnamed_function_7).t.moving,1,,,,,,,1,1
Function,(unnamed_function_5).(unnamed_function_7).t.r,1,,,,,,,1,1
Function,(unnamed_function_5).(unnamed_function_7).t.s,1,,,,,,,1,1
Public Method,(unnamed_function_5).(unnamed_function_7).t.setup,1,,,,,,,1,1
Function,(unnamed_function_5).(unnamed_function_7).t.u,3,,,,,,,1,1
Unnamed Function,(unnamed_function_6),1,,,,,,,1,3
Unnamed Function,(unnamed_function_7),1,,,,,,,1,3
File,AbstractApiReportWriter.java,15,1,,,,,14,,68
File,AbstractClassNameFilter.java,3,1,,,,,3,,24
File,AbstractDatabaseTests.java,4,1,,,,,4,,27
File,AbstractEqualsAndHashCodeTests.java,1,1,,,,,1,,20
File,AbstractExecutionConditionTests.java,8,1,,,,,9,,41
File,AbstractExtensionContext.java,14,1,,,,,12,,88
File,AbstractJUnit3TestCase.java,1,1,,,,,1,,8
File,AbstractJunit4TestCaseWithConstructorParameter.java,2,1,,,,,2,,9
File,AbstractJupiterTestEngineTests.java,7,1,,,,,6,,39
File,AbstractMethodResolver.java,14,2,,,,,8,,73
File,AbstractNonGenericTests.java,6,1,,,,,6,,39
File,AbstractNumberTests.java,1,1,,,,,1,,14
File,AbstractTestDescriptor.java,21,1,,,,,16,,107
File,AbstractTestDescriptorTests.java,21,1,,,,,12,,115
File,AbstractTestRuleAdapter.java,5,1,,,,,3,,29
File,AbstractTestRuleAdapterTests.java,8,1,,,,,7,,52
File,AbstractTestRuleAnnotatedMember.java,2,1,,,,,2,,12
File,AbstractTestSourceTests.java,11,1,,,,,7,,56
