Kind,Name,SumCyclomatic,AvgEssential,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived,CountClassCoupled,CountDeclMethod,Essential,CountLineCode
Package,(Unnamed_Package),2,1,,,,,2,,16
File,AbstractApiReportWriter.java,14,1,,,,,13,,62
File,AbstractClassNameFilter.java,3,1,,,,,3,,24
File,AbstractExtensionContext.java,12,1,,,,,10,,69
File,AbstractJUnit3TestCase.java,1,1,,,,,1,,8
File,AbstractJunit4TestCaseWithConstructorParameter.java,2,1,,,,,2,,9
File,AbstractJupiterTestEngineTests.java,3,1,,,,,3,,23
File,AbstractMethodResolver.java,14,2,,,,,8,,69
File,AbstractNonGenericTests.java,6,1,,,,,6,,39
File,AbstractNumberTests.java,1,1,,,,,1,,14
File,AbstractTestDescriptor.java,21,1,,,,,16,,107
File,AbstractTestDescriptorTests.java,21,1,,,,,12,,115
File,AbstractTestRuleAdapter.java,5,1,,,,,3,,29
File,AbstractTestRuleAdapterTests.java,8,1,,,,,7,,52
File,AbstractTestRuleAnnotatedMember.java,2,1,,,,,2,,12
File,AbstractTestSourceTests.java,1,1,,,,,1,,24
File,AfterAll.java,0,0,,,,,0,,14
File,AfterAllCallback.java,0,0,,,,,1,,8
File,AfterEach.java,0,0,,,,,0,,14
File,AfterEachCallback.java,0,0,,,,,1,,8
File,AfterEachMethodAdapter.java,0,0,,,,,1,,12
File,AfterTestExecutionCallback.java,0,0,,,,,1,,8
File,AnnotationConsumer.java,0,0,,,,,0,,8
File,AnnotationConsumerInitializer.java,7,1,,,,,3,,41
File,AnnotationSupport.java,6,1,,,,,6,,35
File,AnnotationSupportTests.java,9,1,,,,,7,,86
File,AnnotationUtils.java,48,1,,,,,17,,222
File,AnnotationUtilsTests.java,82,1,,,,,75,,575
File,ApiReport.java,3,1,,,,,3,,18
File,ApiReportGenerator.java,10,1,,,,,2,,53
File,ApiReportWriter.java,0,0,,,,,2,,8
File,ArgumentConversionException.java,2,1,,,,,2,,14
File,ArgumentConverter.java,0,0,,,,,1,,8
File,Arguments.java,2,1,,,,,2,,12
File,ArgumentsProvider.java,0,0,,,,,1,,9
File,ArgumentsSource.java,0,0,,,,,1,,17
File,ArgumentsSources.java,0,0,,,,,1,,15
File,ArgumentsTests.java,2,1,,,,,2,,18
File,AsciidocApiReportWriter.java,7,1,,,,,7,,38
File,AssertAll.java,8,1,,,,,5,,40
File,AssertAllAssertionsTests.java,34,1,,,,,12,,118
File,AssertArrayEquals.java,123,1,,,,,52,,340
File,AssertArrayEqualsAssertionsTests.java,332,1,,,,,122,,1753
File,AssertEquals.java,62,1,,,,,32,,125
File,AssertEqualsAssertionsTests.java,104,1,,,,,47,,477
File,AssertFalse.java,15,1,,,,,7,,30
File,AssertFalseAssertionsTests.java,18,1,,,,,8,,69
File,AssertIterableEquals.java,23,1,,,,,11,,91
File,AssertIterableEqualsAssertionsTests.java,66,1,,,,,28,,379
File,AssertLinesMatch.java,31,2,,,,,8,,121
File,AssertLinesMatchAssertionsTests.java,51,1,,,,,18,,186
File,AssertNotEquals.java,8,1,,,,,5,,24
File,AssertNotEqualsAssertionsTests.java,11,1,,,,,7,,54
File,AssertNotNull.java,8,1,,,,,5,,22
File,AssertNotNullAssertionsTests.java,6,1,,,,,3,,34
File,AssertNotSame.java,8,1,,,,,5,,23
File,AssertNotSameAssertionsTests.java,10,1,,,,,6,,55
File,AssertNull.java,8,1,,,,,5,,23
File,AssertNullAssertionsTests.java,8,1,,,,,4,,48
File,AssertSame.java,8,1,,,,,5,,23
File,AssertSameAssertionsTests.java,11,1,,,,,6,,73
File,AssertThrows.java,8,1,,,,,4,,38
File,AssertThrowsAssertionsTests.java,38,1,,,,,16,,186
File,AssertTimeout.java,30,1,,,,,13,,104
File,AssertTimeoutAssertionsTests.java,73,1,,,,,24,,222
File,AssertTrue.java,15,1,,,,,7,,30
File,AssertTrueAssertionsTests.java,15,1,,,,,7,,59
File,AssertionTestUtils.java,17,1,,,,,10,,60
File,AssertionUtils.java,39,1,,,,,24,,109
File,Assertions.java,118,1,,,,,118,,380
File,AssertionsDemo.java,27,1,,,,,13,,104
File,Assumptions.java,33,1,,,,,16,,73
File,AssumptionsDemo.java,5,1,,,,,3,,24
File,AssumptionsTests.java,63,1,,,,,27,,194
File,AutomaticModuleNameTests.java,13,1,,,,,3,,77
File,AvailableOptions.java,5,1,,,,,3,,168
File,BeforeAll.java,0,0,,,,,0,,14
File,BeforeAllAndAfterAllComposedAnnotationTests.java,4,1,,,,,4,,43
File,BeforeAllCallback.java,0,0,,,,,1,,8
File,BeforeAndAfterAllTests.java,40,1,,,,,39,,285
File,BeforeAndAfterEachTests.java,43,1,,,,,42,,392
File,BeforeAndAfterTestExecutionCallbackTests.java,37,1,,,,,37,,349
File,BeforeEach.java,0,0,,,,,0,,14
File,BeforeEachAndAfterEachComposedAnnotationTests.java,4,1,,,,,4,,43
File,BeforeEachCallback.java,0,0,,,,,1,,8
File,BeforeEachMethodAdapter.java,0,0,,,,,1,,12
File,BeforeTestExecutionCallback.java,0,0,,,,,1,,8
File,BlacklistedExceptions.java,4,1,,,,,2,,16
File,BridgeMethodTests.java,17,1,,,,,6,,77
File,Categories.java,0,0,,,,,0,,11
File,ChildWithBridgeMethods.java,3,1,,,,,3,,18
File,ChildWithoutBridgeMethods.java,3,1,,,,,3,,18
File,Class1WithTestCases.java,1,1,,,,,1,,7
File,Class2WithTestCases.java,1,1,,,,,1,,7
File,ClassExtensionContext.java,7,1,,,,,7,,42
File,ClassFileVisitor.java,11,1,,,,,7,,48
File,ClassLoaderUtils.java,11,3,,,,,3,,50
File,ClassLoaderUtilsTests.java,3,1,,,,,2,,22
File,ClassNameFilter.java,2,1,,,,,2,,14
File,ClassNameFilterTests.java,12,1,,,,,6,,103
File,ClassSelector.java,7,1,,,,,5,,33
File,ClassSelectorResolver.java,1,1,,,,,1,,14
File,ClassSource.java,18,1,,,,,14,,80
File,ClassTestDescriptor.java,46,1,,,,,24,,205
File,ClassUtils.java,6,1,,,,,3,,20
File,ClassUtilsTests.java,2,1,,,,,2,,23
File,ClassWithStaticInnerTestCases.java,2,1,,,,,2,,15
File,ClassWithoutTestCases.java,0,0,,,,,0,,3
File,ClasspathResourceSelector.java,4,1,,,,,3,,20
File,ClasspathResourceSource.java,12,1,,,,,9,,58
File,ClasspathResourceSourceTests.java,8,1,,,,,5,,42
File,ClasspathRootSelector.java,3,1,,,,,3,,20
File,ClasspathRootSelectorResolver.java,3,1,,,,,2,,21
File,ClasspathScanner.java,37,1,,,,,17,,176
File,ClasspathScannerTests.java,84,1,,,,,29,,262
File,ClasspathScanningSupport.java,2,1,,,,,2,,22
File,CloseablePath.java,10,1,,,,,5,,51
File,CollectionUtils.java,18,3,,,,,4,,74
File,CollectionUtilsTests.java,34,1,,,,,19,,171
File,Color.java,10,1,,,,,6,,45
File,CommandLineOptions.java,51,1,,,,,49,,194
File,CommandLineOptionsParser.java,0,0,,,,,2,,9
File,ComparableContract.java,3,1,,,,,4,,24
File,CompositeFilter.java,10,1,,,,,7,,53
File,CompositeTestSource.java,8,1,,,,,6,,45
File,CompositeTestSourceTests.java,7,1,,,,,4,,40
File,ConditionEvaluationException.java,1,1,,,,,1,,9
File,ConditionEvaluationResult.java,6,1,,,,,6,,33
File,ConditionEvaluator.java,16,1,,,,,7,,76
File,ConfigurationParameters.java,0,0,,,,,3,,11
File,ConsoleDetailsTests.java,24,1,,,,,16,,173
File,ConsoleLauncher.java,8,1,,,,,6,,67
File,ConsoleLauncherExecutionResult.java,9,1,,,,,8,,39
File,ConsoleLauncherIntegrationTests.java,10,1,,,,,3,,36
File,ConsoleLauncherTests.java,3,1,,,,,3,,43
File,ConsoleLauncherWrapper.java,11,1,,,,,6,,57
File,ConsoleLauncherWrapperResult.java,21,1,,,,,20,,117
File,ConsoleTestExecutor.java,18,1,,,,,10,,94
